Odometry_Theta (abs),Integrated_Theta (abs),Difference (°),Sampling_Rate
8.593117184751894e-05,2.5782786062433943e-05,0.0034462486500100448,1380.0
8.593117184751894e-05,8.73977236401892e-05,8.402722815735088e-05,
0.0002217960572985,0.00014901266121794445,0.004170181414044851,
0.0002217960572985,0.00021062759879569973,0.000639905535877454,
0.0002217960572985,0.000272242536373455,0.0028903703422899427,
0.0006359327778062,0.0003977321788263482,0.01364788899903373,
0.0006359327778062,0.0005232218212792414,0.006457862113877225,
0.0006359327778062,0.0006487114637321346,0.0007321647712792778,
0.0006359327778062,0.0008256124540113583,0.010867844905963603,
0.0010997464724892,0.0010025134442905822,0.0055710421450573255,
0.0010997464724892,0.001179414434569806,0.004564637989627004,
0.0010997464724892,0.0014046109334131585,0.017467446934473826,
0.0016934204439965,0.001629807432256511,0.0036447570948175325,
0.0016934204439965,0.0018550039310998635,0.009258051850029288,
0.0016934204439965,0.002119148420720739,0.024392416286942636,
0.0023674046902536,0.0023832929103416146,0.0009103279550182088,
0.0023674046902536,0.00264743739996249,0.016044692391931556,
0.0023674046902536,0.0029365086036809806,0.03260725234376749,
0.0031250210536028,0.003225579807399471,0.005761592185644396,
0.0031250210536028,0.0035146510111179617,0.022324152137480333,
0.0031250210536028,0.0038325437280118196,0.04053806315344551,
0.0040424335157706,0.004150436444905677,0.006188112014490444,
0.0040424335157706,0.004468329161799535,0.024402023030455623,
0.0040424335157706,0.004815043391868759,0.04426728511055002,
0.0049602740961397,0.005161757621937984,0.011544155669656912,
0.0049602740961397,0.005508471852007209,0.031409417749751305,
0.0049602740961397,0.005891797193407306,0.053372341992388266,
0.0059743259907168,0.0062751225348074025,0.017234372468512296,
0.0059743259907168,0.006658447876207499,0.03919729671114926,
0.0059743259907168,0.007104868962667183,0.06477534085093396,
0.0059743259907168,0.007551290049126867,0.09035338499071867,
0.0059743259907168,0.008025753688946367,0.11753814908479124,
0.0085653287160571,0.008500217328765868,0.0037306076900293227,
0.0085653287160571,0.008974680968585369,0.023454156404043303,
0.0085653287160571,0.009498219076784548,0.05345068041811971,
0.010053510461125,0.010021757184983727,0.0018193287086083374,
0.010053510461125,0.010545295293182906,0.028177195305468073,
0.010053510461125,0.011121023709023967,0.06116400367891365,
0.0115843398409303,0.011696752124865028,0.006440749434886147,
0.0115843398409303,0.012272480540706088,0.03942755780833172,
0.0115843398409303,0.012891830706217975,0.07491370833289182,
0.0131979896482406,0.013511180871729861,0.017944535286473183,
0.0131979896482406,0.014130531037241748,0.05343068581103328,
0.0131979896482406,0.014801292550579966,0.09186248958512125,
0.0149729634300413,0.015472054063918184,0.028595786915654436,
0.0149729634300413,0.0161428155772564,0.0670275906897423,
0.0149729634300413,0.016862651558974297,0.10827115438383406,
0.0168757029100603,0.017582487540692193,0.04049577635992024,
0.0168757029100603,0.01830232352241009,0.081739340054012,
0.0168757029100603,0.019075907731400967,0.12606245032715552,
0.0189235588988588,0.019849491940391845,0.053052055391555025,
0.0189235588988588,0.020623076149382722,0.09737516566469853,
0.0189235588988588,0.02146131402306429,0.14540265805467253,
0.021356745114456,0.022299551896745855,0.054018849521518156,
0.021356745114456,0.023137789770427422,0.10204634191149216,
0.021356745114456,0.024030554831197523,0.1531980119903594,
0.0237369216231792,0.024923319891967624,0.0679756136232041,
0.0237369216231792,0.025816084952737725,0.11912728370207135,
0.0237369216231792,0.026759482401518604,0.17317997592062498,
0.0261991077666956,0.027702879850299483,0.08615979374009658,
0.0261991077666956,0.028646277299080362,0.14021248595865018,
0.0261991077666956,0.02958967474786124,0.19426517817720382,
0.0261991077666956,0.03061408401745937,0.2529595058192559,
0.0261991077666956,0.0316384932870575,0.31165383346130804,
0.0261991077666956,0.0326963978287243,0.3722672988265374,
0.0322904689640775,0.0337543023703911,0.08387147609202819,
0.0322904689640775,0.0348122069120579,0.14448494145725757,
0.0352386934831943,0.03592619656044433,0.03939102472868342,
0.0352386934831943,0.03704018620883076,0.10321793000248845,
0.0352386934831943,0.03815417585721719,0.1670448352762935,
0.0352386934831943,0.03932425061232325,0.23408518045867416,
0.0386263656179208,0.040494325367429314,0.10702620994715226,
0.0386263656179208,0.041664400122535375,0.17406655512953292,
0.0386263656179208,0.04287965454694337,0.24369550468271112,
0.041840773052109,0.04409490897135136,0.1291524746214294,
0.041840773052109,0.045310163395759356,0.1987814241746076,
0.041840773052109,0.04656202893149822,0.270508035890328,
0.0451690787387452,0.04781389446723708,0.15153677883240294,
0.0451690787387452,0.04906576000297594,0.22326339054812339,
0.0451690787387452,0.05036514208746338,0.29771249996416504,
0.048653843541249,0.05166452417195082,0.17249929360099903,
0.048653843541249,0.053012980724817936,0.24976016293704448,
0.0518591248374267,0.054361437277685054,0.1433719418498858,
0.0518591248374267,0.05570989383055217,0.22063281118593125,
0.0518591248374267,0.057158057239809754,0.30360646258166724,
0.0518591248374267,0.058606220649067335,0.3865801139774032,
0.0518591248374267,0.06009566892854909,0.47191921419472965,
0.0606114853696138,0.061585117208030844,0.055784995140860105,
0.0606114853696138,0.0630745654875126,0.14112409535818654,
0.0606114853696138,0.06461698303445179,0.2294981110447238,
0.0647308438478257,0.06615940058139098,0.08185027162828591,
0.0647308438478257,0.06770181812833018,0.1702242873148232,
0.0647308438478257,0.06927928886696913,0.2606067029442198,
0.0689933689637427,0.07085675960560808,0.10676441936306015,
0.0689933689637427,0.07243423034424704,0.19714683499245672,
0.0689933689637427,0.07403351195772141,0.28877892169741115,
0.073271088258454,0.07563279357119579,0.1353157468737283,
0.073271088258454,0.07723207518467017,0.22694783357868273,
0.073271088258454,0.07883914639630003,0.3190262313820497,
0.0775806169180007,0.0804462176079299,0.1641868253027204,
0.0775806169180007,0.08205328881955977,0.2562652231060874,
0.0775806169180007,0.08366970754897625,0.3488791942275507,
0.0819372943584111,0.08528612627839273,0.19187393531363955,
0.0819372943584111,0.08691111356578027,0.2849788486433577,
0.0860949594226964,0.0885361008531678,0.13986710116053985,
0.0860949594226964,0.09016108814055535,0.232972014490258,
0.0860949594226964,0.0918125600616716,0.3275943855545814,
0.0905144758515643,0.09346403198278785,0.16899711775604473,
0.0905144758515643,0.09511550390390411,0.2636194888203681,
0.0905144758515643,0.09681838717284669,0.361187513134219,
0.0951599613170713,0.09852127044178927,0.19258882648515224,
